"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A22",1,"whats that jono","pig dog","pig","child",,,,"dog pig"
"A22",2,"what is that","pig dog","pig","pig","pig",,,
"A22",3,"what is that","pig dog","pig","pig","pig",,"pig",
"A22",4,"what does that say","pig dog","pig","child","pig",,"pig",
"A22",5,"its a pig","pig dog","pig","child","pig",,"pig",
"A22",6,"Pigs say","pig dog","pig","child","pig",,"dog","dog"
"A22",7,"what is this","pig dog","dog","dog","dog",,"dog",
"A22",8,"ha","pig dog",,"dog","dog",,"dog",
"A22",9,"whats that","pig dog","dog","dog","dog",,"dog",
"A22",10,"what is it","pig dog","dog","dog","dog",,"dog",
"A22",11,"doggy","pig dog","dog","dog","dog",,"dog","dog"
"A22",12,"what do doggies say","pig dog","dog","dog","dog",,"dog","dog"
"A22",13,"woof woof","pig dog",,"dog","dog",,"dog","dog"
"A22",14,"ruff","pig dog",,"dog","dog",,"pig",
"A22",15,"jono wheres his nose touch the piggys nose","pig dog","pig","pig","dog",,"pig","pig"
"A22",16,"good","pig dog",,"pig","dog",,"pig","pig"
"A22",17,"touch the piggys ears","pig dog","pig","pig","dog",,"pig","pig"
"A22",18,"touch the piggys ears","pig dog","pig","pig","dog",,"pig","pig"
"A22",19,"touch the piggys ears","pig dog","pig","pig","dog",,"pig","pig"
"A22",20,"touch the piggys ears","pig dog","pig","pig","dog",,"pig","pig"
"A22",21,"ears","pig dog",,"pig","dog pig",,"pig","pig"
"A22",22,"wheres the piggys eyes","pig dog","pig","pig","dog",,"pig","pig"
"A22",23,"wheres the doggys eyes","pig dog","dog","dog","dog",,"dog",
"A22",24,"wheres the doggys eyes","pig dog","dog","dog","dog",,"dog",
"A22",25,"no ears","pig dog",,"dog","dog",,"dog","dog"
"A22",26,"eyes","pig dog",,"dog","dog",,"dog","dog"
"A22",27,"good","pig dog",,"dog","dog",,"dog","dog"
"A22",28,"wheres the doggys feet","pig dog","dog","dog","dog",,"dog","dog"
"A22",29,"yes","pig dog",,"dog","dog",,"dog","dog"
"A22",30,"wheres the doggys tail","pig dog","dog","dog","dog",,"dog",
"A22",31,"yes","pig dog",,"dog","dog",,"dog","dog"
"A22",32,"ha","pig dog",,"dog","dog",,"dog",
"A22",33,"what does doggy say","pig dog","dog","dog","dog",,"dog",
"A22",34,"ruff","pig dog",,"dog","dog",,"dog",
"A22",35,"yeah","pig dog",,"dog","dog",,"dog",
"A22",36,"whats that","pig dog","pig","pig","dog",,"pig","pig"
"A22",37,"look jono look","pig dog",,"pig","pig",,"pig","pig"
"A22",38,"my name is piggy","pig dog","pig","child","pig",,"pig",
"A22",39,"ha","pig dog",,"child","pig",,"pig",
"A22",40,"shake my hand","pig dog","pig","child","pig",,"pig",
"A22",41,"shake my hand","pig dog","pig","child","pig",,"pig",
"A22",42,"shake my hand","pig dog","pig","child","pig",,"pig",
"A22",43,"no hand","pig dog",,"child","pig",,"pig","pig"
"A22",44,"ha","pig dog",,"child","pig",,"pig","pig"
"A22",45,"hand","pig dog",,"child","pig",,"pig","pig"
"A22",46,"do you want to wear the piggy for a puppet","pig dog","pig","child","pig",,"pig","pig"
"A22",47,"here put your hand in","pig dog",,"pig","child pig",,"pig",
"A22",48,"jonos hand in","pig dog",,"pig",,,"pig","pig"
"A22",49,"ha","pig dog",,"pig",,,"pig","pig"
"A22",50,"oh","pig dog",,"pig","pig",,"pig","pig"
"A22",51,"whats that","pig dog","pig","pig","pig",,"pig","pig"
"A22",52,"its a squeaker","pig dog","pig","child",,,"pig","pig"
"A22",53,"there you go","pig dog",,"pig",,,"pig","pig"
"A22",54,"do you want to go say hi to someone with the piggy","pig dog","pig","child",,,"pig","pig"
"A22",55,"what is the piggy doing","pig dog","pig","child",,,"pig","pig"
"A22",56,"is the piggy eating","pig dog","pig","child",,,"pig","pig"
"A22",57,"what does he eat with","pig dog","pig","child",,,"pig","pig"
"A22",58,"ha","pig dog",,"pig",,,"pig",
"A22",59,"uhoh wheres the piggy","pig dog","pig","pig",,,"pig",
"A22",60,"is the piggy going to say hi to the doggy","pig dog","pig dog","child",,,"pig","pig"
"A22",61,"hi","pig dog",,"child","dog",,"dog","pig"
"A22",62,"ha","pig dog",,"child",,,"dog","dog pig"
"A22",63,"there you go","pig dog",,"child",,,"dog","dog pig"
"A22",64,"there you go","pig dog",,"pig",,,"pig","dog pig"
"A22",65,"what does the piggy say to the doggy","pig dog","pig dog","child",,,"pig","dog pig"
"A22",66,"what does he say","pig dog","pig","child",,,"pig","dog pig"
"A22",67,"wheres the piggys tail jono","pig dog","pig","pig",,,"pig","dog"
"A22",68,"touch the piggys tail","pig dog","pig","pig",,,"pig","dog"
"A22",69,"oh thats his bottom","pig dog","pig","pig","pig",,"pig","dog"
"A22",70,"heres his tail","pig dog","pig","pig","pig",,"pig","dog"
"A22",71,"tail","pig dog",,"pig",,,"pig","dog pig"
"A22",72,"can you say tail","pig dog",,"child",,,"pig","dog pig"
"A22",73,"does it taste good","pig dog","pig","child",,,"pig","dog pig"
"A22",74,"can you say tail jono","pig dog",,"child",,,,"dog pig"
"A22",75,"oh","pig dog",,"pig",,,,"dog pig"
"A22",76,"piggy says","pig dog","pig","pig","pig",,,"dog pig"
"A22",77,"wheres the doggy","pig dog","dog","pig","pig",,"pig","dog"
"A22",78,"i want to see doggy","pig dog","dog","child","pig",,"pig","dog"
"A22",79,"i want to see doggy","pig dog","dog","child","pig",,"pig","dog"
"A22",80,"piggy is looking for the doggy","pig dog","pig dog","child","pig",,,"dog"
"A22",81,"wheres the doggy","pig","dog","pig","pig",,"pig","dog"
"A22",82,"wheres the doggy","pig dog","dog","pig","pig",,"pig","dog"
"A22",83,"ha","pig dog",,"pig","pig",,"pig","dog"
"A22",84,"wheres my friend doggy oh","pig dog","dog","child","pig",,"pig","dog"
"A22",85,"oh","pig dog",,"child","pig",,"pig",
"A22",86,"ah dont eat the piggy","pig dog","pig","child","pig",,"pig","pig"
"A22",87,"you think it tastes good","pig dog","pig","child","pig",,"pig","pig"
"A22",88,"wheres the doggy jono","pig","dog","child","dog pig",,"pig","pig"
"A22",89,"wheres the doggy","pig","dog","child","dog pig",,"pig","pig"
"A22",90,"wheres the doggy","pig","dog","child","dog pig",,"pig","pig"
"A22",91,"wheres the doggy","pig","dog","child","dog pig",,"pig","pig"
"A22",92,"whats that","pig dog","dog","dog","pig","dog","dog","dog"
"A22",93,"whats that","pig dog","dog","dog","pig","dog","dog","dog"
"A22",94,"whats that jono","pig dog","dog","child","pig","dog","dog","dog"
"A22",95,"whats that","pig dog",,"child","pig","child","dog","dog"
"A22",96,"whats that","pig dog",,"child","pig","child","dog","dog"
"A22",97,"nose","pig dog",,"child","pig","dog","dog","dog"
"A22",98,"whats this","pig dog","dog","child","pig","child","dog","dog"
"A22",99,"whats this","pig dog","dog","child","pig","child","dog","dog"
"A22",100,"whats this","pig dog","dog","dog","pig","dog","dog","dog"
"A22",101,"whats this","pig dog","dog","child","pig","dog","dog","dog"
"A22",102,"eye","pig dog",,"child","pig","dog","dog","dog"
"A22",103,"eye","pig dog",,"child","pig","dog","dog","dog"
"A22",104,"can you say eye","pig dog",,"child","pig",,"dog","dog"
"A22",105,"are you eating the doggys nose","pig dog","dog","child","pig",,"dog","dog"
"A22",106,"poor nose","pig dog",,"child","pig",,"dog","dog"
"A22",107,"nose","pig dog",,"child","pig","dog","dog","dog"
"A22",108,"hard nose","pig dog",,"child","dog pig",,"dog","dog"
"A22",109,"ha","pig dog",,"pig","pig",,"pig","pig"
"A22",110,"theres the piggy","pig dog","pig","pig","pig",,"pig","pig"
