video,utt.num,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A16,1,see you pull it on,dog pig,pig,pig,pig,,pig,pig
A16,2,and there youve got a pig on your hand,dog pig,pig,child,,,pig,
A16,3,yeah,dog pig,,child,,,pig,
A16,4,look at that,dog pig,,pig,,,pig,
A16,5,shall mommy do it,dog pig,,pig,pig,,,pig
A16,6,kiss,dog pig,,child,pig,,,pig
A16,7,hes got your hand,dog pig,pig,child,pig,,,pig
A16,8,hes got your tickle tickle tickle,dog pig,pig,child,pig,,,pig
A16,9,do you want to pull him off,dog pig,pig,child,pig,,,pig
A16,10,there,dog pig,,child,,,pig,pig
A16,11,where where whats that his eye,dog pig,pig,pig,pig,,pig,pig
A16,12,is that the pigs eye,dog pig,pig,pig,,,pig,pig
A16,13,yeah pull it on like that,dog pig,pig,pig,pig,,pig,pig
A16,14,and your hands up in there huh,dog pig,pig,child,pig,,pig,pig
A16,15,what are you to show me,dough,,child,pig,,,dough
A16,16,wha,dough,,child,pig,,,dough
A16,17,huh,dough,,child,pig,,,dough
A16,18,can i see the pizza dough,dough pig dog,dough,child,pig,,,dough
A16,19,em,dough pig dog,,child,pig,,,dough
A16,20,show me the pizza dough,dough pig dog,dough,child,pig,,,mom
A16,21,is it in the bag,dough pig dog,dough,dough,pig,dough,,dough
A16,22,no is it in here,dough pig dog,dough,dough,dough,,,dough
A16,23,what is in here,dough pig dog,dough,dough,dough,,,dough
A16,24,can you open that,dough pig dog,,dough,,dough,,dough
A16,25,and show me whats in there,dough pig dog,,dough,,,dough,dough
A16,26,can you open it for me,dough pig dog,,dough,,,dough,dough
A16,27,pull harder,dough pig dog,,dough,,,dough,dough
A16,28,a little bit more,dough pig dog,,dough,,,dough,dough
A16,29,ha,dough pig dog,,dough,,,dough,dough
A16,30,good girl,dough pig dog,,dough,,,dough,dough
A16,31,can you take that out,dough pig dog,dough,dough,,,dough,dough
A16,32,whats in there,dough pig dog,,dough,,,dough,dough
A16,33,yeah,dough pig dog,,dough,,,dough,dough
A16,34,is that the pizza dough,dough pig dog,dough,dough,,,dough,dough
A16,35,here ill help you,dough pig dog,,dough,dough,,dough,dough
A16,36,here you hold onto the dough,dough pig dog,dough,dough,dough,,,dough
A16,37,there,dough pig dog,,dough,dough,,,dough
A16,38,there,dough pig dog,,dough,dough,,dough,dough
A16,39,yeah,dough pig dog,,dough,,,dough,dough
A16,40,was is it in the bag,dough pig dog,dough,dough,,,dough,dough
A16,41,hum,dough pig dog,,dough,,,dough,dough
A16,42,do you want to put something else in the bag,dough pig dog,,,,,,
A16,43,do you want to put this back in or not,dough pig dog,dough,dough,dough,,,dough
A16,44,okay,dough pig dog,,dough,dough,,dough,dough
A16,45,there,dough pig dog,,dough,dough,,,dough
A16,46,there,dough pig dog,,dough,dough,,,dough
A16,47,there you go,dough pig dog,,dough,dough,,,dough
A16,48,ha,dough pig dog,,brush,,,dough,brush
A16,49,oh whats that,brush box dough,brush,brush,,,dough,brush
A16,50,whats that,brush box dough,brush,brush,,,dough,brush
A16,51,a brush,brush box dough,brush,brush,,brush,dough,brush
A16,52,look at the blue brush,brush box dough,brush,brush,,brush,dough,brush
A16,53,ha,brush box dough,,child,dough,,,brush
A16,54,do you want to look at it,brush box,brush,child,dough,,,brush
A16,55,can i brush your shoes,brush box,,brush,brush,,,brush
A16,56,is that a brush,brush box,brush,child,,,brush,brush
A16,57,huh,brush box,,child,,,brush,brush
A16,58,yeah you want to walk around,brush box,,child,,,brush,brush
A16,59,huh,brush box,,box,,,brush,brush
A16,60,and then look at this,brush box,box,box,box,,brush,brush
A16,61,its a box,brush box,box,box,box,,brush,box
A16,62,do you think you can bang,brush box,,box,,,box,box
A16,63,can you bang the box with the brush,brush box,box brush,box,box,,box,box
A16,64,can you bang,brush box,,box,,,brush,brush
A16,65,bang bang,brush box,,box,,,brush,box
A16,66,can you make that bang bang,brush box,,child,child,,brush,box
A16,67,look,brush box,,child,child,,brush,box
A16,68,huh,brush box,,box,,,brush,box
A16,69,yeah bang,brush box,,box,,,brush,box
A16,70,bang bang,brush box,,child,,,brush,box
A16,71,i dont think you want to eat it though,brush box,brush,child,,,brush,brush
A16,72,yicky,brush box,,child,,,brush,brush
A16,73,yeah,brush box,,child,,,brush,box
A16,74,good sound,brush box,,child,,,brush,box
A16,75,yick,brush box,,child,brush,,brush,brush
A16,76,Yick,brush box,,child,brush,,brush,brush
A16,77,whats she doing huh,brush box,,child,child,,brush,
A16,78,why dont you sit like this,brush box,,box,child,,brush,
A16,79,emmy,,,child,brush,,,
A16,80,wheres the hotdog,hotdog,hotdog,child,,,,
A16,81,can you bring me a hotdog,hotdog,hotdog,child,,,,
A16,82,wheres the hotdog em,hotdog,hotdog,child,,,,
A16,83,there are hotdogs,hotdog,hotdog,child,,,hotdog,hotdog
A16,84,ha,hotdog,,hotdog,,,hotdog,hotdog
A16,85,opp you dropped one,hotdog,hotdog,hotdog,hotdog,,hotdog,hotdog
A16,86,do you want to eat the hotdog,hotdog,hotdog,child,,,hotdog,hotdog
A16,87,can you eat them,hotdog,hotdog,child,hotdog,,hotdog,hotdog
A16,88,huh,hotdog,,hotdog,,,hotdog,hotdog
A16,89,look,hotdog,,hotdog,,,hotdog,hotdog
A16,90,you know what well do,hotdog,,hotdog,hotdog,,hotdog,hotdog
A16,91,wheres the hotdog,hotdog brush box,hotdog,hotdog,hotdog,,,
A16,92,emmy,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,93,whats in here,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,94,ha,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,95,whats in there,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,96,what are you going to do,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,97,ha,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,98,ha,hotdog brush box,,hotdog,hotdog,,hotdog,hotdog
A16,99,there it is,hotdog brush box,hotdog,hotdog,,,hotdog,hotdog
A16,100,two hotdogs yeah,hotdog,hotdog,child,,,hotdog,hotdog
A16,101,whats in the can,,,child,,,,
A16,102,no you dont need to get all your  vegetables too,,,child,,,,
A16,103,you just want to make a mess,,,child,,,,
A16,104,here lets lets come over here and look in the box,hotdog brush box,,child,child,,,
A16,105,come here,hotdog brush box,,child,child,,,
A16,106,whats in here,hotdog brush box,,child,,,,
A16,107,can you open that,hotdog brush waffles box,,child,,,,
A16,108,ha,hotdog brush waffles box,,waffles,,,,waffles
A16,109,are those waffles,hotdog brush waffles box,waffles,waffles,,,waffles,waffles
A16,110,does emily like waffles,hotdog brush waffles box,waffles,child,child,,waffles,waffles
A16,111,where are your waffles now,hotdog brush box,waffles,child,,,,
A16,112,where did you put them,hotdog brush box,waffles,child,,,,
A16,113,where are they,hotdog brush box,waffles,child,,,,
A16,114,whats in there,hotdog brush box,,waffles,waffles,,,waffles
A16,115,ha,hotdog brush waffles box,,waffles,waffles,,,waffles
A16,116,ha,hotdog brush waffles box,,waffles,waffles,,waffles,waffles
A16,117,two waffles,hotdog brush waffles box,waffles,waffles,,,waffles,waffles
A16,118,can we put a hotdog in the box,hotdog brush waffles box,hotdog,hotdog,hotdog,,waffles,hotdog
A16,119,no not quite huh,hotdog brush waffles box,,hotdog,hotdog,,waffles,hotdog
A16,120,yeah you like hotdog huh,hotdog brush waffles box,hotdog,child,child,,hotdog,
A16,121,no emmy come here come here,alphabet,,child,waffles,,,
A16,122,whats in this box,alphabet,,box,box,,,
A16,123,emmy,alphabet,,child,box,,,
A16,124,emmy,alphabet,,child,box,,,
A16,125,emmy whats in here,alphabet,,child,box,,,
A16,126,emily,alphabet,,child,box,,alphabet,alphabet
