"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A18",1,"do you know","box brush",,"child",,,,"brush"
"A18",2,"ohh theres nothing inside","box brush",,"box","box",,,"brush"
"A18",3,"look its all gone","box",,"child","box",,"box","box"
"A18",4,"theres nothing in the box","box","box","child",,,"box","box"
"A18",5,"uh oh","box",,"child",,,"box","box"
"A18",6,"yeah","box",,"child",,,"box","box"
"A18",7,"oh thank you","box",,"child","box",,"box","box"
"A18",8,"want me to put them in your jeans","box","box","child","child box",,,
"A18",9,"want me put them inside","box","box","child","child box",,"box",
"A18",10,"want me put them inside","box","box","child","child box",,"box",
"A18",11,"hes gonna get you","box","box","child","child box",,"box",
"A18",12,"hes got you hes in your jeans","box","box","child","child box",,"box",
"A18",13,"now what are you going to do","box",,"child",,,,
"A18",14,"huh","box",,"child",,,,
"A18",15,"youd rather have your box","box","box","child",,,,
"A18",16,"can you get them out","box brush","box","child",,,"box",
"A18",17,"its your brush","box brush","brush","child",,,,"brush"
"A18",18,"yeah","brush",,"child",,,,"brush"
"A18",19,"uh oh thats dangerous",,,,,,,
"A18",20,"oh that could hurt the baby",,,,,,,
"A18",21,"look","brush",,"brush","brush",,"brush",
"A18",22,"want me scratch your tummy","brush",,"child","brush",,"brush","brush"
"A18",23,"thats your hair","brush",,"child",,,,"brush"
"A18",24,"wheres your nose","brush",,"child",,,,"brush"
"A18",25,"wheres your nose","brush",,"child",,,,"brush"
"A18",26,"wheres your nose","brush",,"child",,,,"brush"
"A18",27,"where is it","brush",,"child",,,"mom","brush"
"A18",28,"its right there",,,"child","child",,,
"A18",29,"wheres your tummy","brush",,"child","brush",,"brush",
"A18",30,"there it is","brush",,"child","brush",,"brush","brush"
"A18",31,"thats your hair","brush",,"child",,,,"brush"
"A18",32,"yeah we got to put that away ok",,,,,,,
"A18",33,"lets put him over here",,,,,,,
"A18",34,"well put him away",,,,,,,
"A18",35,"hes gone gone thats right",,,"child",,,,
"A18",36,"hes gone gone",,,,,,,
"A18",37,"ohhh wheres ernie",,"ernie","ernie","ernie",,,
"A18",38,"wheres ernie","ernie","ernie","child","ernie",,"ernie",
"A18",39,"do you know how to do him","ernie","ernie","ernie","ernie",,"ernie",
"A18",40,"theres ernie","ernie","ernie","ernie",,"ernie","ernie",
"A18",41,"uh huh","ernie",,"ernie",,"ernie","ernie",
"A18",42,"whos in here","oscar",,"ernie",,"ernie","ernie",
"A18",43,"ohhh theres oscar","oscar","oscar","oscar",,"oscar","oscar",
"A18",44,"wheres papa in the book","oscar","book","book",,,"book",
"A18",45,"its a big big boo",,"book","child",,,,
"A18",46,"here we could look at the pictures",,"book","book","book",,,
"A18",47,"ohhh look theres mommy","book","book","book","book","book","book",
"A18",48,"theres papa","book","book","book","book","book",,
"A18",49,"theres the baby","book","book","book","book","book",,
"A18",50,"yeah","book",,"child","book",,,
"A18",51,"uh huh thats dangerous","book",,,"book",,,
"A18",52,"lets put that away","book",,,"book",,,
"A18",53,"that can hurt baby","book",,,"book",,,
"A18",54,"yeah gone gone","book",,,"book",,,
"A18",55,"look","book",,"book","book",,,
"A18",56,"wheres joey","book","book","book","book",,"book",
"A18",57,"wheres joey","book","book","book","book",,"book",
"A18",58,"there he is","book","book","book","book","book","book",
"A18",59,"there theres joey","book","book","book",,,"book","book"
"A18",60,"uh huh","book",,,,,,"book"
"A18",61,"gone gone ok","book",,,,,,"book"
"A18",62,"can i show him some of those toys",,,,,,,
"A18",63,"mhmmm",,,,,,,
"A18",64,"thats a camera",,,,,,,
"A18",65,"what ya think",,,"child",,,,
"A18",66,"wanna come over and play with p  these now",,"ernie oscar","ernie oscar","ernie oscar",,,
"A18",67,"wanna do this one","ernie oscar","ernie oscar","child","ernie oscar",,,
"A18",68,"how does he go oh i dont know","ernie oscar","ernie oscar","child","ernie oscar",,,
"A18",69,"what does he do",,"ernie oscar","child","ernie oscar",,,
"A18",70,"looks like he knows hes on camera now",,,,,,,
"A18",71,"k",,,,,,,
"A18",72,"you want the car","car ernie oscar","car","car","car",,"car",
"A18",73,"mhmmm","car ernie oscar",,"car","car",,"car","car"
"A18",74,"does he go fast","car ernie oscar","car","car",,,"car truck","car truck"
"A18",75,"yeah","car ernie oscar",,"car",,,"car","car truck"
"A18",76,"make him go fast","car ernie oscar","car","car",,,"car","car"
"A18",77,"oh wheres his doors","car ernie oscar","car","car",,,"car","car"
"A18",78,"where","car",,"car",,,"car","car"
"A18",79,"let me see","car",,"car",,,"car","car"
"A18",80,"ohh","car",,"car",,,"car","car"
"A18",81,"uh huh","car",,"car",,,"mom","car"
"A18",82,"wheres his wheels","car","car","car","car",,"car",
"A18",83,"ohhhh","car",,"car",,,"car","car"
"A18",84,"mhmmm","car",,"car",,,"car","car"
"A18",85,"oh is the doors hard you can try","car","car","car","car",,"car",
"A18",86,"you can try","car",,"car","car",,"car",
"A18",87,"pull","car",,"car","car",,"car","car"
"A18",88,"you can do em","car","car","car","car",,"car","car"
"A18",89,"ohhh yeah","car",,"car","car",,,
"A18",90,"there it goes","car","car","child","car",,,
"A18",91,"wanna do the other one",,"car","child","car",,,
"A18",92,"wanna do that one","car","car","car","car","car","car",
"A18",93,"ok no you gotta pull","car",,"car","car",,"car","car"
"A18",94,"thats a boy","car",,"car","car",,"car","car"
"A18",95,"ohh wow","car",,"car","car",,"car","car"
"A18",96,"you got both doors","car","car","car","car",,,
"A18",97,"yeah i dont think he has doors","car bear","bear","truck","car",,"truck","truck"
"A18",98,"see hes got little ones right there","car bear","bear","truck","car","truck","truck","truck"
"A18",99,"heres the teddy bear","car bear","bear","truck","car","truck","truck","truck"
"A18",100,"the big big bear","car bear","bear","truck","car",,"truck","truck"
"A18",101,"you gonna close em","car bear","car","car","car",,"car","car truck"
"A18",102,"wanna do the other one","car bear","car","truck","car",,"truck","car truck"
"A18",103,"can you do the other one","car bear","car","car","car",,"car","car truck"
"A18",104,"kay","car bear",,"car",,,"car","car truck"
"A18",105,"mhmmm","car bear",,"car",,,"car","car truck"
"A18",106,"its a car","car bear","car","car",,,"car","car truck"
"A18",107,"where","car bear",,"car",,,"car","car truck"
"A18",108,"uh huh its a car",,"car","car","car",,,
"A18",109,"it goes fast",,"car","car","car",,,
