"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A33",1,"come here",,,"child","pig child",,"mom",
"A33",2,"da doot da doot","pig",,"child","pig",,,
"A33",3,"tst tst tst tst","pig",,"child","pig",,,
"A33",4,"oink oink oink","pig",,"child","pig",,,
"A33",5,"hm heres a dog","dog","dog","dog","dog pig",,,
"A33",6,"heres a dog","dog","dog","child","dog",,"dog",
"A33",7,"thats right","dog",,"child","dog",,"dog",
"A33",8,"would you like to play with the dog","dog","dog","child","dog",,"dog","dog"
"A33",9,"you think so huh","dog",,"child","dog",,"dog","dog"
"A33",10,"a ruh ruh ruh","dog",,"child",,,"dog","dog"
"A33",11,"are you gonna eat the dog","dog","dog","child",,"dog","dog","dog"
"A33",12,"what do you think of the dog","dog","dog","child","dog",,"dog",
"A33",13,"how about the pig","pig dog","pig","child","pig",,"pig","pig"
"A33",14,"do you like the pig","pig","pig","child","pig",,"pig","pig"
"A33",15,"oink oink oink","pig",,"child","pig",,"pig",
"A33",16,"tst tst tst tst","pig",,"child","pig",,"pig",
"A33",17,"do you want the pig","pig","pig","child","pig",,"pig","pig"
"A33",18,"can we buy the pig","pig","pig",,"pig",,"pig","pig"
"A33",19,"tst tst tst tst","dog",,"child","dog",,"dog",
"A33",20,"what do you think","dog",,"child","dog",,"dog",
"A33",21,"what do you think","dog",,"child","dog",,"dog",
"A33",22,"hey","dog",,"child",,,"dog","dog"
"A33",23,"are you trying to make a noise like a pig","dog pig","pig","child","pig",,,
"A33",24,"oink oink oink","pig",,"child","pig",,"pig","pig"
"A33",25,"this is a great pig","pig","pig","child","pig",,"pig",
"A33",26,"yes","pig",,"child","pig",,"pig",
"A33",27,"its a great pig","pig","pig","child","pig",,"pig",
"A33",28,"what do you think of that pig","pig","pig","child","pig",,"pig",
"A33",29,"what about the pigs tail","pig","pig","child","pig",,"pig",
"A33",30,"pigs dont have tails like this","pig","pig","child","pig",,"pig",
"A33",31,"heres the dog","pig dog","dog","child","dog",,"dog",
"A33",32,"woof","pig dog","dog","child","dog",,"dog",
"A33",33,"the dog goes woof","dog","dog","child","dog",,"dog",
"A33",34,"you saw a dog yesterday","dog","dog","child","dog",,"dog",
"A33",35,"remember you saw a dog yesterday","dog","dog","child","dog",,"dog",
"A33",36,"you saw misty yesterday","dog",,"child","dog",,"dog",
"A33",37,"thats right","dog",,"child","dog",,"dog",
"A33",38,"you saw misty yesterday","dog",,"child","dog",,"dog",
"A33",39,"tst tst tst","dog pig",,"child","dog",,"dog",
"A33",40,"i dont suppose youd roll over for it would you","dog pig","pig","child","dog pig",,"dog",
"A33",41,"do you want to go roll over","dog",,"child","dog",,"dog",
