"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A38",1,"ooh a truck and a car","car truck","car truck","child","child",,,
"A38",2,"see them","car truck","car truck","child","child",,,
"A38",3,"hmmm","car truck",,"child","child",,"truck",
"A38",4,"look at that","car truck","truck","truck","child","truck","truck",
"A38",5,"look at that","car truck","truck","truck","child","truck","truck",
"A38",6,"you gonna reach for it","car truck","truck","truck","child","truck","truck",
"A38",7,"yeah","car truck",,"truck","child",,"truck","truck"
"A38",8,"yeah","car truck",,"truck","child",,"truck","truck"
"A38",9,"watch","car truck",,"truck","child truck",,"truck","truck"
"A38",10,"what are you gonna do pick it up and put it in your mouth like everything else","car truck","truck","truck","child truck",,"truck","truck"
"A38",11,"ka choo ka choo ka choo","car truck",,"child","child truck",,"truck",
"A38",12,"uh huh","car truck",,"child","child truck",,"truck","truck"
"A38",13,"right now this is the way we play with almost everything","car truck",,,"child truck",,"truck","truck"
"A38",14,"it doesnt fit too good does it","car truck","truck","child","child",,"truck","truck"
"A38",15,"how about this one","car truck","car","child","child car",,"truck","truck"
"A38",16,"look at this one","car truck","car","child","child car",,"car","truck"
"A38",17,"now this has small pieces so we wouldnt actually play with one like this","car truck","car","car","child car",,"car","truck"
"A38",18,"what do you think of that one huh","car truck","car","car","child car",,"car","truck"
"A38",19,"are you gonna run it up your toes","car truck","car","child","child car",,,"truck"
"A38",20,"hey","car truck",,"child","child car",,,"truck"
"A38",21,"one thing at a time mom","car truck",,"child","child",,"car","truck"
"A38",22,"did you see the teddy bear on the side of this truck","car truck","truck","child","child truck",,,"truck"
"A38",23,"hey","car truck",,"child","child truck",,,"truck"
"A38",24,"hey","car truck",,"child","child truck",,,"truck"
"A38",25,"oh no","car truck",,"child","child truck",,"truck","truck"
"A38",26,"oh no","car truck",,"child","child truck",,,"truck"
"A38",27,"were gonna have to wash this thing","car truck","truck","child","child truck",,,"truck"
"A38",28,"yeah","car truck",,"child","child truck",,"truck",
"A38",29,"uh huh","car truck",,"child","child truck",,"truck",
"A38",30,"dont take that away from me","car truck","truck","child","child truck",,"truck",
"A38",31,"okay","car truck",,"child","child truck",,"truck","truck"
"A38",32,"hows that","car truck","truck","child",,,"truck","truck"
"A38",33,"does that thing taste pretty good","car truck","truck","child",,,"truck",
