"`","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A29",1,"is that a truck hm","car truck","truck","child",,,"truck","truck"
"A29",2,"truck car","car truck","truck","child",,,"truck","truck"
"A29",3,"is that a car","car truck","car","child",,"car","car","truck"
"A29",4,"is that a car","car truck","car","child",,,,"truck"
"A29",5,"pretty car","car truck","car","child",,,"truck","truck"
"A29",6,"look how pretty","car truck",,"car","car",,"car","truck"
"A29",7,"see","car truck",,"child","car",,"car","truck"
"A29",8,"look how pretty","car truck",,"child","car",,"car",
"A29",9,"pretty huh","car truck",,"child","car",,"car","car"
"A29",10,"is that a pretty car","car truck","car","car",,,"car","car"
"A29",11,"wheres the door","car truck","car","car",,,"car","car truck"
"A29",12,"wheres the door on the car","car truck","car","car",,,"car","car truck"
"A29",13,"wheres the door","car truck","car","car",,,"car","car truck"
"A29",14,"is that the door look","car truck","car","car","car",,"car","car truck"
"A29",15,"ha","car truck",,"car","car",,"car","car"
"A29",16,"oh look","car truck",,"car","car",,"car","car"
"A29",17,"see","car truck",,"car","car",,"car","car"
"A29",18,"can you stick your finger in there","car truck","car","car","car",,"car","car"
"A29",19,"whats inside there","car truck","car","car","car",,"car","car"
"A29",20,"oh","car truck",,"car","car",,"car","car"
"A29",21,"is mommy in there","car truck","car","car","car",,"car","car"
"A29",22,"hm","car truck",,"child",,,"mom","car"
"A29",23,"no heres mommy huh","car truck",,"child",,,"mom","car"
"A29",24,"umhum and thats a truck","car truck","truck","truck","truck",,"truck","truck"
"A29",25,"truck","car truck","truck","child",,,"truck","truck"
"A29",26,"truck truck","car truck","truck","child",,,"truck","truck"
"A29",27,"whats wrong","car truck",,"child",,,,"truck"
"A29",28,"want to ride the horse","car truck",,"child",,,,
"A29",29,"okay","car truck",,"child",,,,
"A29",30,"ready","car truck",,"child",,,,
"A29",31,"is it hot","car truck",,"child","child",,,
"A29",32,"oh its a little hot","car truck",,"child","child",,,
"A29",33,"its not too hot its warm","car truck",,"child",,,,
"A29",34,"hes more interested in you","car truck",,,,,,
"A29",35,"go on","car truck",,"child",,,,
"A29",36,"ride the horse","car truck",,"child",,,,
"A29",37,"weeee","car truck",,"child","child",,"mom",
"A29",38,"want to get down","car truck",,"child","child",,"mom",
"A29",39,"okay","car truck",,,,,,
"A29",40,"let me turn it off","car truck",,"child",,,,
"A29",41,"shawns car","car truck brush box","car","child","car",,"car",
"A29",42,"no thats not shawns car","car truck brush box","car","child","car",,"car",
"A29",43,"oh it looks like shawns car","car truck brush box","car","car","car",,"car",
"A29",44,"shawns his twenty two year old brother that has a little red honda","car truck brush box","car",,"car",,"car",
"A29",45,"looks like shawns car","car truck brush box","car","box","box",,"truck","truck"
"A29",46,"oh whats this","car truck brush box","box","box","box",,"box","truck"
"A29",47,"hm i wonder what that is","car truck brush box","box","brush","brush",,"brush","truck"
"A29",48,"oh look at this","car truck brush box","brush","brush","brush",,"brush","truck"
"A29",49,"i wonder if thats for brushing hair with maybe","car truck brush box","brush","child","brush",,"brush","truck"
"A29",50,"hm","car truck brush box",,"child","brush",,"brush","truck"
"A29",51,"is that what that is","car truck brush box","brush","child","brush",,"brush","truck"
"A29",52,"is that a brush","car truck brush box","brush","child","brush",,"brush","truck"
"A29",53,"hm","car truck brush box",,"child",,,"brush",
"A29",54,"oh pretty","car truck brush box",,"child",,,,"brush"
"A29",55,"is that a brush hm","brush","brush","child","child",,"brush","brush"
"A29",56,"oh whats in there","box","box","box",,,"box","box"
"A29",57,"all gone","brush box",,"child",,,"brush","box"
"A29",58,"nothing in there huh","brush box","box","child",,,"brush","box"
"A29",59,"thank you","brush box",,"child","box",,"box","box"
"A29",60,"no no no dont pull on that","brush box",,"child","box",,,
"A29",61,"thats mommys","brush box",,"child","box",,,
"A29",62,"its mommys","brush box",,"child","box",,,
"A29",63,"its mommys","brush box",,"child","box",,,
"A29",64,"wheres the truck","brush box","truck","box","box",,"box",
"A29",65,"truck","brush box","truck","truck","box",,"box",
"A29",66,"why dont you put the truck in here","brush box","truck box","box","box",,"box",
"A29",67,"could you put the truck in there","brush box","truck box","child","box",,"box",
"A29",68,"think itll fit","brush box car truck","truck","box","box",,"car","car"
"A29",69,"car and oh look","brush box car truck","car","car box","car box",,"car box",
"A29",70,"byebye car all gone","brush box car truck","car","car box","car box",,"car box",
"A29",71,"cars all gone","brush box car truck","car","child",,,"box",
"A29",72,"there it is","brush box car truck","car","child",,,"car","box"
"A29",73,"oh i dont think i can make it fit","brush box car truck","truck","box truck","box truck",,"box truck",
"A29",74,"trucks too big","brush box car truck","truck","box truck","box truck",,"box truck",
"A29",75,"hows that","brush box car truck",,"box","box",,"box",
"A29",76,"unuh","brush box car truck",,"child",,,"truck","box"
"A29",77,"aww","brush box car truck",,"child","brush",,"truck","truck"
"A29",78,"ooo well give the truck a bath huh","brush box car truck","truck","child","brush",,"truck","truck"
"A29",79,"oh its all pretty now","brush box car truck","truck","truck","brush",,"truck","truck"
"A29",80,"look how pretty the truck is","brush box car truck","truck","truck","brush",,"truck","truck"
"A29",81,"beep beep","brush box car truck",,"child","truck",,"truck",
"A29",82,"nope thats mommys mommys","brush box car truck",,"child",,,"mom",
"A29",83,"thats mommys dont touch","brush box car truck",,"child",,,"mom",
"A29",84,"dont touch","brush box car truck",,"child",,,"mom",
"A29",85,"mommys","brush box car truck",,"child",,,"mom",
"A29",86,"whos that huh","brush box car truck",,"child",,,"mom","brush"
"A29",87,"this way","brush box car truck",,"child","child",,,"brush"
"A29",88,"oh look","brush box car truck dog pig",,"pig","pig",,"dog pig","brush"
"A29",89,"look at that pig","brush box car truck dog pig","pig","pig","pig",,"dog pig","brush"
"A29",90,"whats that","dog pig brush box car truck","pig","dog","dog",,"dog","brush"
"A29",91,"whats that","dog pig brush box","pig","child","dog",,"dog","brush"
"A29",92,"whats that","dog pig brush","pig","child","dog",,"dog","brush"
"A29",93,"no thats not a doggy thats a pig","dog pig brush","dog pig","child","dog",,"pig","pig"
"A29",94,"oink oink oink oink","dog pig brush",,"child","dog",,"pig","pig"
"A29",95,"oink oink","dog pig brush",,"child","dog",,"pig","pig"
"A29",96,"thats a pig","dog pig brush","pig","child","pig",,"pig",
"A29",97,"pig","dog pig brush","pig","child","pig",,"pig",
"A29",98,"oink oink","dog pig brush",,"child","pig",,"pig",
"A29",99,"and whats that","dog pig brush","dog","child","dog",,"dog",
"A29",100,"milky","dog pig brush",,,,,,
"A29",101,"milky","dog pig brush",,,,,,
"A29",102,"dont you like the pig hum","dog pig brush","pig","pig","pig",,"pig",
"A29",103,"look at his tail","dog pig brush","pig","child","pig",,,
"A29",104,"look","dog pig brush",,"child","pig",,"pig",
"A29",105,"oink oink oink","dog pig brush",,"child","pig",,"pig",
"A29",106,"oink oink","dog pig brush",,"child","pig",,"pig",
"A29",107,"oh its a puppet","dog pig brush","pig","pig","pig",,"pig",
"A29",108,"look look","dog pig brush",,"pig","pig",,"pig",
"A29",109,"hi alex","dog pig brush",,"child","pig",,"pig",
"A29",110,"hi","dog pig brush",,"child","pig",,"pig",
"A29",111,"can I have a kiss","dog pig brush",,"child","pig",,"pig",
"A29",112,"no","dog pig brush",,"child","pig",,"pig","pig"
"A29",113,"give me a kiss","dog pig brush",,"child","pig",,,
"A29",114,"hi","dog pig brush",,"child","pig",,"dog",
"A29",115,"thats a doggy","dog pig brush","dog","child","pig",,"dog",
"A29",116,"thats a doggy","dog pig brush","dog","child","dog",,"dog",
"A29",117,"this is a doggy","dog pig brush","dog","child","dog",,"dog",
"A29",118,"its a baby doggy","dog pig brush","dog","child","dog",,"dog",
"A29",119,"and thats a pig","dog pig brush","pig","child",,,"pig","pig"
"A29",120,"pig","dog pig brush","pig","child",,,"pig","pig"
"A29",121,"piggy uhhuh","dog pig brush","pig","child",,,"pig","pig"
"A29",122,"hi","dog pig brush",,"child",,,"mom","pig"
"A29",123,"oh pretty","dog pig brush",,"child","pig",,"dog","dog brush"
"A29",124,"ha","dog pig brush",,"child","pig",,"dog","dog brush"
"A29",125,"pretty","dog pig brush",,"child","pig",,"pig","dog brush"
