"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A32",1,"walk to the piggy","dog pig","pig","pig","child",,"pig",
"A32",2,"take a step","dog pig",,"pig","child",,"pig",
"A32",3,"come on","dog pig",,"pig","child",,"pig",
"A32",4,"walk to the pig","dog pig","pig","pig","child",,"pig",
"A32",5,"youre supposed to play with the toys",,"dog pig","child","child",,"mom",
"A32",6,"well alright","dog pig",,"child","child",,"pig","pig"
"A32",7,"well alright ill give it one more try","pig",,"child","child",,"pig","pig"
"A32",8,"aaaaa poo","dog pig",,"child","child",,,
"A32",9,"wa wa","dog pig",,"child","dog",,"dog","pig"
"A32",10,"yeow","dog",,"child","dog",,,
"A32",11,"little ol baby","dog",,"child","dog",,"dog",
"A32",12,"no no",,,"child","dog",,,
"A32",13,"you dont want that in your mouth",,,"child","dog",,,
"A32",14,"no shoes","pig",,"pig","pig",,,
"A32",15,"no shoes","pig",,"pig","pig",,,
"A32",16,"only pigs","pig","pig","pig","pig",,,
"A32",17,"oh boring",,,"child","pig",,,
"A32",18,"okay",,,"child","pig",,,
"A32",19,"me me me me","pig",,"child","pig",,"pig",
"A32",20,"me me me me me","pig",,"child","pig",,"pig","pig"
"A32",21,"me me me me me me me","pig",,"child","pig",,"pig","pig"
"A32",22,"yeah","pig",,"child","pig",,,"pig"
"A32",23,"what was that","pig",,"child","pig",,,"pig"
"A32",24,"cant you say your best words","pig",,"child","child pig",,"pig","pig"
"A32",25,"huh","pig",,"child","child pig",,,"pig"
"A32",26,"oh fuzz in your mouth","pig",,"child","child pig",,,"pig"
"A32",27,"blah","pig",,"child","child pig",,,"pig"
"A32",28,"blah","pig",,"child","child pig",,,"pig"
"A32",29,"ooooo","pig",,"child","child pig",,,"pig"
"A32",30,"yes that was we were supposed to keep this","pig","pig","pig","pig",,"pig","pig"
"A32",31,"oh my god shes got a vice grip on it","pig","pig","pig","pig",,"pig","pig"
"A32",32,"out of her mouth because its dirty","pig","pig","child","pig",,"pig",
"A32",33,"its really dirty","pig","pig","child","pig",,"pig",
"A32",34,"come here","pig",,"child","child",,"mom",
"A32",35,"how about just scratching it like you do the kitty cats","dog","dog","child","child",,"dog","dog"
"A32",36,"yeah","dog",,"child","child",,,"dog"
"A32",37,"or you could shake it","dog pig","dog","child","child",,,"dog"
"A32",38,"very good","dog pig",,"child","child",,,"dog"
"A32",39,"it doesnt make any noise","dog pig","dog","child","child",,,"dog"
"A32",40,"but the kitty would",,,"child","child",,,"dog"
"A32",41,"yeah",,,"child","child",,,"dog"
"A32",42,"well",,,"child","child",,,"dog"
"A32",43,"sure",,,"child","child",,,
"A32",44,"you want to see the car again","pig",,"child","child",,,
"A32",45,"lookey","pig car truck",,"car truck",,,,
"A32",46,"what do you want","pig car truck",,"car truck","dog",,"car","car"
"A32",47,"the jaguar","pig car truck","car","car truck",,,"car","car"
"A32",48,"not the watch",,,"truck","truck",,"truck","mom"
"A32",49,"not the watch","truck",,"truck","truck",,"truck","mom"
"A32",50,"waa","truck",,"truck","truck",,,"mom"
"A32",51,"oh you cant have that",,,"child","truck",,,"mom"
"A32",52,"its not water resistant","truck",,"child","child truck",,"mom","mom"
"A32",53,"no","truck",,"child","child truck",,"mom","mom"
"A32",54,"whaty whaty whaty","truck",,,"truck",,"mom","mom"
"A32",55,"look at that","truck","truck",,,,"mom","mom"
"A32",56,"its yours",,,"child",,,"mom","mom"
"A32",57,"its yours",,,"child",,,"mom","mom"
"A32",58,"what do you want angel",,,"child",,,"mom","mom"
"A32",59,"huh",,,"child",,,"mom","mom"
"A32",60,"what do you want","truck",,"child",,,"mom","mom"
"A32",61,"woop",,,"child","child",,,
"A32",62,"what",,,"child","child",,,
"A32",63,"huh",,,"child","child",,,
"A32",64,"oh",,,"child","child",,,
"A32",65,"are we feeling a little perkier today hmm",,,"child","child",,,
