"video","utt.num","utt","objects.present","objects.referred","mom.eyes","mom.hands","mom.point","kid.eyes","kid.hands"
"A36",1,"who is that","car truck",,"child","child",,,
"A36",2,"who is that over there huh","car truck",,"child","child",,,
"A36",3,"do you see the car",,"car","child","child car",,,
"A36",4,"megan",,,"child","child car",,,
"A36",5,"megan","car",,"child","child car",,"car",
"A36",6,"is this a car","car","car","child","child car",,"car",
"A36",7,"car","car","car","child","child car",,"car","car"
"A36",8,"its a pretty red car huh","car","car","child","child",,"car","car"
"A36",9,"yeah you like to put everything in your mouth dont you","car",,"child","child car",,,"car"
"A36",10,"lets look at the truck","car","truck","truck","child",,"car","car"
"A36",11,"truck","car truck","truck","child","child truck",,"car","car"
"A36",12,"megan","car truck",,"child","child truck",,"truck","car"
"A36",13,"truck","car truck","truck","child","child truck",,"truck","car"
"A36",14,"truck","car truck","truck","child","child",,"truck","car truck"
"A36",15,"yeah look at that","car truck","car","child","car truck",,,
"A36",16,"which one do you like best","car truck",,"child","car truck",,,
"A36",17,"thats the car","car truck","car","child","car truck",,"car","car"
"A36",18,"yeah thats a car","car truck","car","child","child truck",,"car","car"
"A36",19,"here it is","car truck","car","child","child car",,"car","car"
"A36",20,"you like that huh","car","car","child","child car",,"car","car"
"A36",21,"is that pretty","car","car","child","child car",,"car","car"
"A36",22,"its pretty red","car","car","child","child",,,"car"
"A36",23,"yeah","car",,"child","child car",,"car",
"A36",24,"look at","car",,"car","child car",,"car",
"A36",25,"the wheels","car","car","car","child car",,"car",
"A36",26,"yeah","car",,"child","child car",,"car","car"
"A36",27,"everything in your mouth huh","car",,"child","child car",,"car",
"A36",28,"here","car truck",,"child","car truck",,"truck",
"A36",29,"heres a truck","car truck","truck","child","car truck",,"truck",
"A36",30,"ill put you down there","car truck",,,"child",,"car truck",
"A36",31,"ashley you need to go sit down please okay","car truck",,"car truck","child truck",,,
"A36",32,"well you sit over there and watch alright","car truck",,,"child",,"car truck",
"A36",33,"ashley maybe you need to sit behind me okay","car truck",,,"child",,"car truck",
"A36",34,"do you want to see that","car truck",,"truck","child",,,
"A36",35,"Do you want to go down here and play with those","car truck","car truck","car truck","child",,"car truck",
"A36",36,"there","car truck",,"child",,,"car truck",
"A36",37,"she likes that red car doesnt she","car truck","car","child",,,"car","car"
"A36",38,"yeah","car truck",,"child","child",,"car",
"A36",39,"oh whats the trouble",,,"child","child",,,
"A36",40,"whats the trouble honey","car truck",,"child","child",,,
"A36",41,"here you go","car truck",,"child","child car",,,
"A36",42,"here you go","car truck",,"child","child car",,,
"A36",43,"here you go","car truck",,"child","child car",,,
"A36",44,"who is that huh","car truck",,"child","child car",,,
"A36",45,"its a car","car truck","car","child","child",,"car","car"
"A36",46,"a pretty car","car truck","car","child","child",,"car","car"
"A36",47,"is that a car","car truck","car","child","child",,"car","car"
"A36",48,"a car","car truck","car","child","child",,"car","car"
"A36",49,"yes it is","car truck","car","child","child",,"car","car"
"A36",50,"this is a truck","car truck","truck","truck","truck",,"truck",
"A36",51,"see the bear","car truck",,"truck","truck",,"truck","truck"
"A36",52,"do you see the little bear","car truck",,"truck","truck","truck","truck","truck"
"A36",53,"theres a bear on that truck","car truck","truck","child","truck",,"truck",
"A36",54,"i can tell which one you like best huh","car truck",,"child","child",,"car","car"
"A36",55,"yeah i think so","car truck",,,"child",,,"car"
"A36",56,"she likes that red car doesnt she","car truck","car",,"child",,,"car"
"A36",57,"yeah","car truck",,"child","child",,,"car"
"A36",58,"i hope you dont mind if she chews on the toys","car truck",,,"child",,,"car"
"A36",59,"try this one again","car truck","truck","truck","truck",,"truck","car"
"A36",60,"tst goodness sakes","car truck",,"child","child",,"truck","truck"
"A36",61,"shes getting teeth as you can tell","car truck",,"child","child",,,"truck"
"A36",62,"yeah","car truck",,"child","child",,,"truck"
"A36",63,"who is that huh","car truck",,,"child",,,"truck"
"A36",64,"wheres the car","car truck","car","child","child",,,"truck"
"A36",65,"megan wheres the car","car truck","car","child","child",,,"truck"
"A36",66,"wheres the car","car truck","car","child","child",,"mom","truck"
"A36",67,"wheres the car","car truck","car","child","child",,"mom","truck"
"A36",68,"wheres the car","car truck","car","child","child",,,"truck"
"A36",69,"megan wheres the car","car truck","car","child","child",,,"truck"
"A36",70,"is this the car","car truck","car","child","child car",,"car","truck"
"A36",71,"is this the car","car truck","car","child","child car",,"car","car truck"
"A36",72,"yeah thats the red car","car truck","car","child","child",,,"car"
"A36",73,"thats the car","car truck","car","child","child",,,"car"
"A36",74,"wheres the truck","car truck","truck","child","child",,,"car"
"A36",75,"wheres the truck","car truck","truck","child","child",,,"car"
"A36",76,"see the truck","car truck","truck","child","child truck",,"truck","car"
"A36",77,"thats the truck","car truck","truck","child","child truck",,"truck","truck"
"A36",78,"does that taste good","car truck","truck","child","child",,"mom","truck"
"A36",79,"huh","car truck",,"child","child",,"mom","truck"
"A36",80,"does that taste good","car truck","truck","child","child",,"mom","truck"
"A36",81,"youve got the sun in your eye again huh","car truck",,"child","child",,,"truck"
"A36",82,"lets put you down here","car truck",,"child","child",,,"truck"
"A36",83,"lets see what you do huh","car truck",,"child",,,"car truck",
"A36",84,"i think well have to buy megan a little red car to play with","car truck","car",,,,"car","car"
"A36",85,"yeah","car truck",,"child",,,,"car"
"A36",86,"ashley can you go sit back there please","car truck",,,,,"car","car"
"A36",87,"shes being distracted by you okay just so the","car truck",,,,,,"car"
"A36",88,"thats a microphone","car truck",,,,,"car","car"
"A36",89,"i need to have you sit back here","car truck",,,,,"car","car"
"A36",90,"be very quiet then","car truck",,,,,"car","car"
"A36",91,"okay i think we can switch pairs here","car truck dog pig",,"child",,,"car","car"
"A36",92,"okay","car truck dog pig",,"child",,,"car","car"
"A36",93,"and a pig and a dog","car truck dog pig","pig dog","child",,,"pig","car"
"A36",94,"lets see if shell let go of the red car here","car truck dog pig","car","car","car",,"pig","car"
"A36",95,"megan look","dog pig",,"dog pig","dog pig",,,
"A36",96,"look","dog pig",,"dog pig","dog pig",,,
"A36",97,"wheres the doggie","dog pig","dog","child","dog pig",,"dog",
"A36",98,"mmm a doggies","dog pig","dog","child","dog pig",,"dog",
"A36",99,"is that the doggie","dog pig","dog","child","dog pig",,"pig",
"A36",100,"wheres the doggie","dog pig","dog","child","dog pig",,"dog",
"A36",101,"wheres the doggie","dog pig","dog","child","dog pig",,"dog",
"A36",102,"yes thats a doggie","dog pig","dog","dog","dog pig",,"dog","dog"
"A36",103,"that looks like your doggie","dog pig","dog","child","dog pig",,"dog","dog"
"A36",104,"yes it does","dog pig","dog","dog","dog pig",,"dog",
"A36",105,"look at the doggie","dog pig","dog","dog","dog pig",,"dog",
"A36",106,"yeah","dog pig",,"child","pig",,"pig",
"A36",107,"this is a piggy","dog pig","pig","child","pig",,"pig",
"A36",108,"see the piggy","dog pig","pig","child","pig",,"pig",
"A36",109,"ashley be quiet","dog pig",,,"pig",,,
"A36",110,"see the piggy","dog pig","pig","child","pig",,"mom",
"A36",111,"piggy","dog pig","pig","child","pig",,"pig",
"A36",112,"its a piggy","dog pig","pig","child","pig",,"pig",
"A36",113,"boo","dog pig",,"child","pig",,"pig",
"A36",114,"thats a piggy","dog pig","pig","child","pig",,"pig",
