32	33	16	2
18	39	23	19
16	21	26	4
42	25	32	38
21	36	9	15
37	16	17	25
36	4	1	41
23	26	32	12
1	31	17	5
12	3	8	28
4	7	18	23
5	15	35	3
37	39	38	24
5	25	11	18
20	1	19	28
35	9	6	31
1	20	30	11
3	22	4	31
11	34	7	33
22	27	3	42
37	34	38	20
39	26	35	29
17	18	42	24
11	20	27	16
17	18	21	9
3	33	39	15
40	22	31	11
41	25	6	37
22	26	9	27
6	25	31	7
26	33	32	14
7	41	8	24
12	36	27	10
35	4	42	17
31	38	20	7
35	34	1	2
16	38	32	3
34	18	13	25
20	4	29	30
16	14	10	8
6	12	2	15
14	17	33	13
12	8	30	26
23	10	19	2
29	42	14	28
2	6	10	7
15	14	30	19
41	28	22	37
40	32	8	13
36	5	15	24
40	30	22	11
24	5	28	12
40	36	13	10
6	27	30	1
40	2	41	39
9	34	24	27
41	37	19	29
33	13	21	35
29	36	28	38
21	8	39	42
29	40	10	23
21	13	34	19
9	23	14	5
